,Bakery,Beer & Liquor,Candied & Chocolate Covered Fruit,Candy & Chocolate,Coffee,Condiments & Sauces,Cooking & Baking Ingredients,Dairy Products,Dips & Spreads,Food Gift Baskets,Frozen Desserts & Novelties,Fruit Flavored Drinks,Fruits & Vegetables,"Grains, Rice & Cereal",Hot Chocolate,Juice,"Meat, Seafood & Eggs",Milk,Non-Dairy Milk,Nuts & Seeds,Pasta & Noodles,Powdered Beverage Mixes,Prepared Foods,Prepared Meals,Seasonings & Spices,Snack Foods,Soda,Soups & Broths,Sports & Energy Drinks,Tea & Infusions,"Tofu, Soy & Vegetarian Products",Vinegar Drinks,Water
Milk,0.151553,0.0,0.000639,0.103872,0.047562,0.124288,0.105002,0.150095,0.093777,0.000575,0.068115,0.046298,0.149833,0.110952,0.00473,0.09976,0.152857,1.0,0.023907,0.039006,0.088628,0.018019,0.123928,0.000102,0.065695,0.132903,0.078283,0.072478,0.030796,0.038421,0.008449,0.000306,0.065811
Non-Dairy Milk,0.025915,0.0,0.000435,0.020812,0.017114,0.027598,0.027212,0.028339,0.027969,0.00032,0.022643,0.018752,0.027075,0.029641,0.003099,0.026123,0.026753,0.023907,1.0,0.023931,0.025171,0.012865,0.022699,0.000144,0.024087,0.024899,0.017849,0.023937,0.015098,0.016032,0.016067,0.000393,0.02381
Nuts & Seeds,0.040235,0.0,0.000555,0.039015,0.024349,0.041866,0.042663,0.044562,0.038736,0.001305,0.030198,0.022274,0.043131,0.042829,0.003201,0.035095,0.041262,0.039006,0.023931,1.0,0.033217,0.012028,0.034054,8e-05,0.037488,0.039748,0.026921,0.032552,0.015949,0.022049,0.009866,0.000451,0.029502
Pasta & Noodles,0.119163,0.0,0.000491,0.075732,0.038898,0.116534,0.093664,0.11933,0.082089,0.000404,0.055861,0.046171,0.113402,0.095771,0.003654,0.08325,0.120714,0.088628,0.025171,0.033217,1.0,0.021958,0.107097,5.1e-05,0.069986,0.113177,0.072264,0.074228,0.034643,0.034142,0.008197,0.000248,0.060602
Powdered Beverage Mixes,0.020117,0.0,0.000194,0.01482,0.011179,0.021561,0.020679,0.019841,0.019155,0.00647,0.01708,0.022221,0.016831,0.019358,0.002097,0.018518,0.019614,0.018019,0.012865,0.012028,0.021958,1.0,0.018004,0.000135,0.019548,0.02065,0.020213,0.019515,0.018412,0.012649,0.002122,0.000193,0.019876
Prepared Foods,0.225773,1e-06,0.000517,0.116097,0.04661,0.165892,0.120718,0.209043,0.105038,0.00079,0.066447,0.048018,0.23229,0.123312,0.003458,0.106639,0.236083,0.123928,0.022699,0.034054,0.107097,0.018004,1.0,0.000196,0.069413,0.203925,0.093996,0.077227,0.032844,0.036891,0.007445,0.000206,0.071106
Prepared Meals,9.3e-05,0.0,0.000377,7.7e-05,0.000237,0.000119,6.2e-05,9.8e-05,0.000134,0.0,0.000198,0.000106,7.1e-05,6.3e-05,0.000536,0.000169,8.4e-05,0.000102,0.000144,8e-05,5.1e-05,0.000135,0.000196,1.0,7.2e-05,8.4e-05,0.000212,8.2e-05,5e-05,0.000162,4.8e-05,0.0,8.4e-05
Seasonings & Spices,0.08494,0.0,0.000313,0.054465,0.032368,0.090682,0.087909,0.09227,0.065085,0.000375,0.042213,0.035397,0.09368,0.073577,0.002787,0.060957,0.090866,0.065695,0.024087,0.037488,0.069986,0.019548,0.069413,7.2e-05,1.0,0.07936,0.053617,0.057297,0.026853,0.030759,0.006597,0.000305,0.049507
Snack Foods,0.268492,1e-06,0.000537,0.136651,0.049776,0.187706,0.145514,0.250216,0.118582,0.001623,0.069569,0.051935,0.283561,0.141781,0.003384,0.114557,0.26832,0.132903,0.024899,0.039748,0.113177,0.02065,0.203925,8.4e-05,0.07936,1.0,0.106765,0.081253,0.037586,0.039272,0.006738,0.000221,0.080129
Soda,0.1113,0.0,0.000246,0.075618,0.035234,0.094693,0.078572,0.103203,0.069163,0.000364,0.054282,0.045013,0.098099,0.070887,0.002708,0.07112,0.107929,0.078283,0.017849,0.026921,0.072264,0.020213,0.093996,0.000212,0.053617,0.106765,1.0,0.057474,0.038937,0.031429,0.004026,0.000171,0.06225
Soups & Broths,0.086689,4e-06,0.000369,0.062388,0.036632,0.088223,0.075233,0.090123,0.068605,0.001055,0.049798,0.036889,0.085432,0.073055,0.003704,0.065538,0.089776,0.072478,0.023937,0.032552,0.074228,0.019515,0.077227,8.2e-05,0.057297,0.081253,0.057474,1.0,0.028127,0.03222,0.007678,0.00029,0.050617
Sports & Energy Drinks,0.035896,0.0,0.000101,0.027171,0.018587,0.034212,0.029967,0.03489,0.030221,0.00027,0.026518,0.031373,0.030126,0.030072,0.002077,0.032581,0.034546,0.030796,0.015098,0.015949,0.034643,0.018412,0.032844,5e-05,0.026853,0.037586,0.038937,0.028127,1.0,0.018867,0.002271,0.000186,0.034882
Tea & Infusions,0.04147,0.0,0.000447,0.034485,0.022388,0.040822,0.038357,0.042396,0.034565,0.000598,0.028702,0.023412,0.039529,0.037377,0.002874,0.035322,0.041465,0.038421,0.016032,0.022049,0.034142,0.012649,0.036891,0.000162,0.030759,0.039272,0.031429,0.03222,0.018867,1.0,0.00549,0.000217,0.029244
"Tofu, Soy & Vegetarian Products",0.007161,0.0,0.001161,0.008684,0.005809,0.008391,0.007118,0.007478,0.009316,0.000429,0.007879,0.005956,0.007439,0.009678,0.004889,0.009343,0.00672,0.008449,0.016067,0.009866,0.008197,0.002122,0.007445,4.8e-05,0.006597,0.006738,0.004026,0.007678,0.002271,0.00549,1.0,0.000654,0.005016
Vinegar Drinks,0.000235,0.0,0.0,0.000239,0.000279,0.000267,0.000324,0.000255,0.00027,0.0,0.000277,0.000215,0.000261,0.000276,0.000277,0.000257,0.000231,0.000306,0.000393,0.000451,0.000248,0.000193,0.000206,0.0,0.000305,0.000221,0.000171,0.00029,0.000186,0.000217,0.000654,1.0,0.000237
Water,0.08219,0.0,0.0003,0.057315,0.034924,0.076299,0.066258,0.083133,0.060493,0.000432,0.04507,0.045829,0.079021,0.064068,0.002801,0.063071,0.08403,0.065811,0.02381,0.029502,0.060602,0.019876,0.071106,8.4e-05,0.049507,0.080129,0.06225,0.050617,0.034882,0.029244,0.005016,0.000237,1.0
