,Bakery,Beer & Liquor,Candied & Chocolate Covered Fruit,Candy & Chocolate,Coffee,Condiments & Sauces,Cooking & Baking Ingredients,Dairy Products,Dips & Spreads,Food Gift Baskets,Frozen Desserts & Novelties,Fruit Flavored Drinks,Fruits & Vegetables,"Grains, Rice & Cereal",Hot Chocolate,Juice,"Meat, Seafood & Eggs",Milk,Non-Dairy Milk,Nuts & Seeds,Pasta & Noodles,Powdered Beverage Mixes,Prepared Foods,Prepared Meals,Seasonings & Spices,Snack Foods,Soda,Soups & Broths,Sports & Energy Drinks,Tea & Infusions,"Tofu, Soy & Vegetarian Products",Vinegar Drinks,Water
Fruit Flavored Drinks,0.452525,0.0,0.00047,0.177695,0.060632,0.272128,0.196168,0.404356,0.147073,0.001933,0.088436,1.0,0.573019,0.182542,0.003696,0.169364,0.485101,0.172679,0.027464,0.041635,0.144065,0.029948,0.336673,0.000109,0.097924,0.428961,0.152437,0.093616,0.054635,0.049129,0.006595,0.000218,0.12404
Fruits & Vegetables,0.415613,1e-06,0.000483,0.146807,0.054657,0.254552,0.195458,0.401498,0.133022,0.000595,0.069765,0.047112,1.0,0.168415,0.003041,0.125232,0.477638,0.161403,0.027428,0.044443,0.120812,0.017066,0.286886,7.1e-05,0.098786,0.360564,0.107983,0.089264,0.03116,0.041613,0.007453,0.000261,0.084256
"Grains, Rice & Cereal",0.460949,0.0,0.000575,0.177812,0.064339,0.285291,0.221939,0.428445,0.154065,0.00167,0.081693,0.056703,0.636301,1.0,0.004174,0.151291,0.494636,0.18991,0.033188,0.05269,0.148874,0.021219,0.326241,6.3e-05,0.108225,0.42074,0.118401,0.102582,0.036414,0.048874,0.009924,0.000277,0.094449
Hot Chocolate,0.33297,0.0,0.000545,0.181394,0.071234,0.201323,0.153445,0.297626,0.114831,0.000701,0.074504,0.042273,0.423044,0.153678,1.0,0.127988,0.350175,0.160996,0.020475,0.036434,0.097937,0.011133,0.25364,0.000701,0.062047,0.299961,0.081121,0.072557,0.020942,0.040483,0.011211,0.000311,0.061269
Juice,0.49178,0.0,0.000698,0.19843,0.064886,0.295926,0.217147,0.442751,0.159829,0.000472,0.092344,0.072095,0.64839,0.207325,0.004763,1.0,0.528466,0.202782,0.03079,0.04705,0.150925,0.021104,0.356758,0.000171,0.103053,0.439173,0.13816,0.10422,0.042246,0.050782,0.009706,0.000258,0.105562
"Meat, Seafood & Eggs",0.455487,2e-06,0.000482,0.159885,0.059519,0.280748,0.204703,0.427592,0.143572,0.00048,0.077013,0.053952,0.646127,0.177101,0.003405,0.138075,1.0,0.17539,0.027482,0.043641,0.134836,0.020045,0.325839,8.4e-05,0.100569,0.392458,0.124923,0.097327,0.036349,0.044895,0.00676,0.000232,0.093299
Milk,0.503848,0.0,0.00064,0.199233,0.069282,0.292735,0.220599,0.463672,0.161338,0.000586,0.092661,0.059496,0.676396,0.210646,0.00485,0.164133,0.543343,1.0,0.027307,0.049323,0.144927,0.020004,0.351431,0.000103,0.101244,0.428077,0.136109,0.105566,0.038071,0.051628,0.008707,0.000307,0.100693
Non-Dairy Milk,0.446701,0.0,0.000443,0.154752,0.069028,0.287937,0.232992,0.442537,0.168723,0.00036,0.081311,0.055817,0.678005,0.217139,0.003638,0.147005,0.502199,0.161073,1.0,0.066634,0.137543,0.022451,0.308549,0.000152,0.112644,0.403915,0.108023,0.100885,0.03894,0.05258,0.019477,0.000401,0.10978
Nuts & Seeds,0.38729,0.0,0.00056,0.171241,0.063609,0.251209,0.213224,0.389696,0.142075,0.00139,0.071628,0.045712,0.593497,0.186232,0.003497,0.121352,0.430812,0.15717,0.035997,1.0,0.112071,0.016814,0.262463,8.2e-05,0.110098,0.360926,0.099292,0.087993,0.029421,0.048753,0.010993,0.000456,0.086252
Pasta & Noodles,0.492497,0.0,0.000493,0.171225,0.062684,0.324849,0.230714,0.45546,0.161606,0.000415,0.083627,0.063625,0.648965,0.211664,0.003782,0.156586,0.535426,0.185768,0.029889,0.045081,1.0,0.02507,0.367946,5.1e-05,0.119266,0.446899,0.142962,0.118884,0.045255,0.049746,0.00854,0.000249,0.103334
Powdered Beverage Mixes,0.448309,0.0,0.000198,0.139982,0.055737,0.288379,0.225992,0.401096,0.146145,0.00746,0.075253,0.079289,0.549565,0.180852,0.002577,0.13126,0.477159,0.153713,0.029247,0.040546,0.150289,1.0,0.314923,0.000144,0.113816,0.432073,0.152992,0.101815,0.056187,0.050439,0.002757,0.000198,0.113942
Prepared Foods,0.422373,1e-06,0.000518,0.157158,0.055243,0.249498,0.172797,0.374702,0.133374,0.000797,0.075213,0.053035,0.549674,0.165445,0.003493,0.132023,0.46151,0.160675,0.023915,0.037658,0.131241,0.018738,1.0,0.000197,0.08397,0.374533,0.120284,0.090114,0.035788,0.04201,0.007523,0.000206,0.085529
Prepared Meals,0.028369,0.0,0.000507,0.009372,0.013678,0.021277,0.008865,0.027102,0.012918,0.0,0.009878,0.004053,0.032168,0.007599,0.00228,0.014944,0.028116,0.011145,0.002786,0.002786,0.004306,0.002026,0.046606,1.0,0.005066,0.024063,0.020263,0.005066,0.00152,0.007092,0.000253,0.0,0.005826
Seasonings & Spices,0.423006,0.0,0.000314,0.141491,0.057024,0.296446,0.247041,0.420188,0.144989,0.000387,0.069068,0.052523,0.644459,0.186873,0.00291,0.129849,0.485006,0.157609,0.029728,0.053786,0.144846,0.023058,0.28591,7.3e-05,1.0,0.37673,0.120189,0.101611,0.037318,0.048208,0.006955,0.000307,0.093488
Snack Foods,0.437656,1e-06,0.000537,0.170929,0.05683,0.256361,0.1904,0.393009,0.141298,0.001633,0.076168,0.055792,0.570401,0.176169,0.003411,0.134188,0.458958,0.161596,0.025849,0.042757,0.131612,0.021226,0.309237,8.4e-05,0.091354,1.0,0.128322,0.091092,0.039975,0.043428,0.006792,0.000221,0.091848
Soda,0.423973,0.0,0.000247,0.160092,0.054498,0.249464,0.182897,0.366545,0.129895,0.000373,0.07815,0.060039,0.517299,0.150127,0.002793,0.127834,0.442395,0.155591,0.020934,0.03562,0.127496,0.02276,0.300742,0.000214,0.088257,0.388586,1.0,0.089273,0.04923,0.044244,0.00419,0.000172,0.100854
Soups & Broths,0.481192,4e-06,0.000371,0.175453,0.068403,0.318768,0.234473,0.458149,0.164914,0.001093,0.085668,0.057384,0.665523,0.202431,0.003888,0.150078,0.536415,0.187811,0.030428,0.049128,0.165006,0.023573,0.350656,8.3e-05,0.116125,0.429306,0.138938,1.0,0.040708,0.05317,0.008152,0.000292,0.10224
Sports & Energy Drinks,0.391962,0.0,0.000103,0.134199,0.053237,0.231824,0.169269,0.347471,0.123632,0.000291,0.068497,0.068626,0.476045,0.147245,0.0023,0.124658,0.410514,0.13879,0.024066,0.033659,0.12871,0.026657,0.28536,5.1e-05,0.087391,0.386054,0.157,0.083416,1.0,0.045209,0.00259,0.000188,0.11121
Tea & Infusions,0.324672,0.0,0.000451,0.127536,0.051028,0.202705,0.160408,0.303277,0.107921,0.000629,0.059871,0.042813,0.441069,0.13711,0.003084,0.103959,0.351772,0.130579,0.022545,0.038696,0.098158,0.016602,0.232397,0.000166,0.078324,0.290969,0.097891,0.075589,0.031365,1.0,0.006003,0.000219,0.073739
"Tofu, Soy & Vegetarian Products",0.519104,0.0,0.001254,0.253493,0.083104,0.357433,0.244836,0.489791,0.216418,0.000657,0.09797,0.057851,0.795164,0.280239,0.008597,0.2,0.533134,0.221672,0.08406,0.087821,0.169612,0.009134,0.418866,6e-05,0.113731,0.45803,0.093313,0.116657,0.01809,0.060418,1.0,0.000716,0.085134
Vinegar Drinks,0.177057,0.0,0.0,0.071072,0.039277,0.117207,0.11409,0.173317,0.063591,0.0,0.033666,0.01995,0.291147,0.081671,0.002494,0.055486,0.190773,0.081671,0.01808,0.03803,0.051746,0.006858,0.119701,0.0,0.052369,0.15586,0.0399,0.043641,0.013716,0.023067,0.007481,1.0,0.0399
Water,0.416523,0.0,0.000301,0.150234,0.061884,0.256119,0.192338,0.387406,0.13679,0.000446,0.074102,0.067759,0.559815,0.166096,0.002926,0.135466,0.458251,0.159645,0.029507,0.042915,0.127814,0.02351,0.296595,8.6e-05,0.095214,0.385759,0.139879,0.091113,0.048365,0.046224,0.005302,0.000238,1.0
