,African Restaurants,American Restaurants,Asian Restaurants,BBQ Restaurants,Bakeries,Bar Food,Brazilian Restaurants,British Restaurants,Burgers,Cafes,Chinese Restaurants,Coffee Shops,Diners,French Restaurants,Greek Restaurants,Ice Cream,Indian Restaurants,Italian Restaurants,Japanese Restaurants,Korean Restaurants,Latin American Restaurants,Mediterranean Restaurants,Mexican Restaurants,Middle Eastern Restaurants,Pizza,Pubs,Sandwiches,Seafood Restaurants,Steakhouse,Sushi,Thai Restaurants,Vegetarian Restaurants
Ice Cream,0.000247,0.16003,0.097452,0.005318,0.031165,0.007297,0.0,0.008781,0.101039,0.00841,0.036359,0.011625,0.003834,0.0,0.001237,1.0,0.035741,0.028692,0.008781,0.000618,0.007544,0.001731,0.064432,0.002226,0.076552,0.018056,0.057878,0.007791,0.001608,0.007049,0.005442,0.000495
Indian Restaurants,0.0001,0.047996,0.065571,0.002482,0.005399,0.002942,2e-05,0.002188,0.029162,0.001338,0.044095,0.002912,0.00028,9.5e-05,0.000894,0.001443,1.0,0.011287,0.007631,0.000355,0.003671,0.003666,0.015433,0.008745,0.04825,0.001578,0.02205,0.003536,0.00029,0.004125,0.006633,0.00035
Italian Restaurants,6.7e-05,0.129111,0.035016,0.003637,0.01619,0.006013,3.1e-05,0.000837,0.047806,0.003489,0.027012,0.004621,0.001132,0.000201,0.002425,0.001038,0.010111,1.0,0.009229,0.000546,0.005275,0.003561,0.050736,0.001861,0.097836,0.000635,0.062426,0.011565,0.001933,0.006473,0.004876,0.000926
Japanese Restaurants,3.8e-05,0.111958,0.103734,0.00682,0.011735,0.005379,6.3e-05,0.000752,0.047241,0.003297,0.076966,0.006908,0.001254,0.000351,0.002407,0.00089,0.019157,0.025864,1.0,0.001141,0.011672,0.004037,0.052456,0.002884,0.056781,0.000213,0.046839,0.021853,0.001504,0.061746,0.016612,0.000865
Korean Restaurants,0.00023,0.124626,0.083697,0.005748,0.016556,0.005748,0.0,0.00184,0.060014,0.005289,0.063233,0.007588,0.00138,0.00069,0.00161,0.00115,0.016326,0.028052,0.020924,1.0,0.006668,0.002989,0.053805,0.00161,0.058864,0.00023,0.051966,0.016096,0.00046,0.008968,0.009887,0.00115
Latin American Restaurants,4.3e-05,0.215155,0.076512,0.005692,0.026199,0.014685,0.0,8.7e-05,0.063738,0.007343,0.064303,0.012079,0.003041,0.00013,0.009428,0.00265,0.031934,0.051225,0.04045,0.00126,1.0,0.011557,0.148592,0.00769,0.085245,0.0,0.097888,0.029284,0.00239,0.029892,0.014729,0.001955
Mediterranean Restaurants,4.3e-05,0.10385,0.045711,0.005605,0.013166,0.006518,0.0,0.003737,0.05362,0.006996,0.031155,0.004649,0.000565,0.000435,0.011254,0.000608,0.031894,0.034588,0.013991,0.000565,0.011558,1.0,0.047927,0.026115,0.077605,0.001304,0.060528,0.01234,0.003172,0.00843,0.00717,0.001782
Mexican Restaurants,5.9e-05,0.140613,0.030567,0.002588,0.017553,0.005066,3.2e-05,0.000301,0.056238,0.003486,0.026791,0.004786,0.001453,0.000218,0.001584,0.001103,0.006544,0.024019,0.008861,0.000496,0.007243,0.002336,1.0,0.001247,0.078214,0.000125,0.067048,0.008317,0.001906,0.00737,0.004467,0.00047
Middle Eastern Restaurants,0.000209,0.060926,0.044512,0.004173,0.005912,0.004695,7e-05,0.006851,0.057379,0.002226,0.029976,0.002643,0.000487,0.000174,0.004799,0.000626,0.060892,0.014467,0.007998,0.000243,0.006155,0.0209,0.020483,1.0,0.07894,0.002886,0.024099,0.00466,0.000974,0.003408,0.00393,0.0008
Pizza,6.8e-05,0.054693,0.010441,0.001196,0.005693,0.002368,5e-06,0.000467,0.029055,0.000949,0.009192,0.001352,0.000317,4.3e-05,0.000447,0.000324,0.00505,0.011431,0.002367,0.000134,0.001026,0.000934,0.019303,0.001187,1.0,0.000593,0.030975,0.00233,0.000611,0.001871,0.001192,0.000132
Pubs,0.0,0.027036,0.005943,0.003748,0.011243,0.001981,0.0,0.046095,0.030141,0.000321,0.00696,0.000482,0.000214,0.0,0.0,0.007816,0.016917,0.007602,0.00091,5.4e-05,0.0,0.001606,0.003159,0.004443,0.060763,1.0,0.008405,0.000428,0.000964,5.4e-05,0.000214,0.000375
Sandwiches,3.6e-05,0.130755,0.020161,0.002068,0.017949,0.003982,1.9e-05,0.000379,0.068397,0.003312,0.017691,0.004982,0.000976,0.000103,0.001264,0.000645,0.006087,0.01924,0.005151,0.000312,0.003106,0.001921,0.04365,0.000956,0.081707,0.000216,1.0,0.005508,0.0011,0.004391,0.00258,0.000334
Seafood Restaurants,5e-05,0.153295,0.05571,0.007327,0.018759,0.008295,8.3e-05,0.001152,0.052506,0.005775,0.054943,0.005357,0.001586,0.00025,0.003288,0.001051,0.011816,0.043143,0.02909,0.001168,0.011249,0.00474,0.065541,0.002236,0.074403,0.000134,0.066676,1.0,0.003171,0.023065,0.0118,0.001068
Steakhouse,6.8e-05,0.139788,0.026652,0.005167,0.014278,0.005847,0.0,0.001496,0.053508,0.004147,0.022301,0.004147,0.000884,0.000476,0.001904,0.000884,0.003943,0.029372,0.008159,0.000136,0.003739,0.004963,0.061191,0.001904,0.079413,0.001224,0.054256,0.012918,1.0,0.006527,0.002244,0.000612
Sushi,5.2e-05,0.115988,0.073301,0.004644,0.013811,0.004988,3.4e-05,0.00043,0.041483,0.004042,0.06422,0.005779,0.001238,0.00043,0.002511,0.00098,0.014206,0.024886,0.084703,0.000671,0.011833,0.003337,0.059851,0.001685,0.061571,1.7e-05,0.054778,0.023769,0.001651,1.0,0.014069,0.000998
Thai Restaurants,0.000116,0.099683,0.106534,0.005277,0.012521,0.003958,0.0,0.000741,0.036105,0.003402,0.086838,0.006666,0.000949,0.000324,0.002037,0.001018,0.030736,0.025227,0.030666,0.000995,0.007846,0.003819,0.048812,0.002615,0.052792,9.3e-05,0.043303,0.016363,0.000764,0.018932,1.0,0.000694
Vegetarian Restaurants,0.000361,0.17022,0.059993,0.010119,0.024575,0.010481,0.0,0.004337,0.062161,0.008312,0.049151,0.00506,0.001084,0.000361,0.008674,0.001446,0.025298,0.07481,0.024937,0.001807,0.016263,0.014817,0.080231,0.008312,0.091435,0.00253,0.087459,0.02313,0.003253,0.020961,0.010842,1.0
