,African Restaurants,American Restaurants,Asian Restaurants,BBQ Restaurants,Bakeries,Bar Food,Brazilian Restaurants,British Restaurants,Burgers,Cafes,Chinese Restaurants,Coffee Shops,Diners,French Restaurants,Greek Restaurants,Ice Cream,Indian Restaurants,Italian Restaurants,Japanese Restaurants,Korean Restaurants,Latin American Restaurants,Mediterranean Restaurants,Mexican Restaurants,Middle Eastern Restaurants,Pizza,Pubs,Sandwiches,Seafood Restaurants,Steakhouse,Sushi,Thai Restaurants,Vegetarian Restaurants
Chinese Restaurants,6.9e-05,0.019702,0.039942,0.006168,0.007369,0.00437,0.000288,0.000936,0.013832,0.002542,1.0,0.004796,0.001071,0.000178,0.001365,0.001043,0.018969,0.012284,0.017657,0.000989,0.005007,0.002419,0.017244,0.002855,0.008105,0.000444,0.013007,0.009955,0.001137,0.011368,0.011968,0.000492
Coffee Shops,0.000112,0.004423,0.006933,0.002372,0.007975,0.002802,6.8e-05,0.000535,0.004258,0.01146,0.004796,1.0,0.001948,0.0002,0.001291,0.001824,0.002397,0.003883,0.004488,0.000689,0.004193,0.00161,0.004401,0.001052,0.001323,0.000145,0.004722,0.003112,0.001048,0.003315,0.00333,0.000302
Diners,0.0,0.001366,0.000572,0.000865,0.001312,0.001316,0.0,0.000151,0.001026,0.001386,0.001071,0.001948,1.0,0.000228,0.001208,0.002009,0.00027,0.001097,0.001149,0.000512,0.002309,0.000428,0.001433,0.000388,0.000316,0.000154,0.000967,0.001414,0.000589,0.0011,0.000811,0.000296
French Restaurants,0.0,0.000116,0.000134,0.000155,0.000102,6.3e-05,0.000533,0.0,6e-05,6.8e-05,0.000178,0.0002,0.000228,1.0,0.000566,0.0,9.4e-05,0.0002,0.000345,0.000521,0.000123,0.000409,0.000218,0.000166,4.3e-05,0.0,0.000103,0.000245,0.000434,0.00042,0.000314,0.000239
Greek Restaurants,9.7e-05,0.001297,0.001056,0.001226,0.001286,0.002365,0.0,0.000322,0.000794,0.002208,0.001365,0.001291,0.001208,0.000566,1.0,0.000579,0.000855,0.002334,0.002163,0.000517,0.006782,0.008106,0.001556,0.003649,0.000445,0.0,0.00125,0.002859,0.001173,0.002173,0.001682,0.00201
Ice Cream,0.000218,0.001001,0.00196,0.001106,0.001539,0.001094,0.0,0.003455,0.001107,0.001887,0.001043,0.001824,0.002009,0.0,0.000579,1.0,0.001389,0.001003,0.000809,0.000402,0.001965,0.00045,0.001086,0.000489,0.000322,0.005485,0.000639,0.000927,0.000571,0.000861,0.000859,0.000369
Indian Restaurants,9.9e-05,0.006507,0.022565,0.002156,0.003045,0.002399,2e-05,0.002063,0.00631,0.001176,0.018969,0.002397,0.00027,9.4e-05,0.000855,0.001389,1.0,0.005362,0.005487,0.000347,0.003303,0.003299,0.004617,0.007706,0.004592,0.001446,0.004793,0.002729,0.00027,0.003207,0.005485,0.000345
Italian Restaurants,6.7e-05,0.019487,0.012822,0.003207,0.00963,0.005013,3.1e-05,0.000793,0.011322,0.00311,0.012284,0.003883,0.001097,0.0002,0.002334,0.001003,0.005362,1.0,0.006849,0.000536,0.004805,0.003239,0.016572,0.001652,0.010341,0.000587,0.014927,0.009204,0.001817,0.005164,0.004103,0.000916
Japanese Restaurants,3.7e-05,0.00658,0.017747,0.004943,0.003988,0.003426,6.2e-05,0.00065,0.004669,0.002446,0.017657,0.004488,0.001149,0.000345,0.002163,0.000809,0.005487,0.006849,1.0,0.001083,0.009141,0.003143,0.007639,0.002124,0.002278,0.000173,0.004662,0.012636,0.001272,0.037035,0.010892,0.000837
Korean Restaurants,0.000184,0.00042,0.000913,0.000711,0.00045,0.000498,0.0,0.000474,0.000355,0.000711,0.000989,0.000689,0.000512,0.000521,0.000517,0.000402,0.000347,0.000536,0.001083,1.0,0.001061,0.000475,0.000491,0.000211,0.000134,4.3e-05,0.00031,0.00109,0.000105,0.000624,0.000905,0.000703
Latin American Restaurants,4.2e-05,0.003796,0.004233,0.002439,0.003382,0.004928,0.0,5.6e-05,0.001949,0.003322,0.005007,0.004193,0.002309,0.000123,0.006782,0.001965,0.003303,0.004805,0.009141,0.001061,1.0,0.005812,0.006955,0.003431,0.001014,0.0,0.00302,0.008194,0.00146,0.00855,0.005145,0.001748
Mediterranean Restaurants,4.2e-05,0.001829,0.002525,0.002402,0.001696,0.002181,0.0,0.002425,0.001639,0.003164,0.002419,0.00161,0.000428,0.000409,0.008106,0.00045,0.003299,0.003239,0.003143,0.000475,0.005812,1.0,0.002232,0.011745,0.000923,0.00072,0.001865,0.003436,0.001939,0.002396,0.002498,0.001593
Mexican Restaurants,5.9e-05,0.039238,0.016931,0.002435,0.013373,0.004639,3.2e-05,0.000293,0.022568,0.003302,0.017244,0.004401,0.001433,0.000218,0.001556,0.001086,0.004617,0.016572,0.007639,0.000491,0.006955,0.002232,1.0,0.001177,0.015726,0.00012,0.027156,0.007435,0.001852,0.006606,0.004109,0.000468
Middle Eastern Restaurants,0.000201,0.001334,0.003032,0.002018,0.000922,0.001811,6.8e-05,0.004794,0.002176,0.001128,0.002855,0.001052,0.000388,0.000166,0.003649,0.000489,0.007706,0.001652,0.002124,0.000211,0.003431,0.011745,0.001177,1.0,0.00117,0.001753,0.00092,0.001513,0.000645,0.001129,0.001573,0.00073
Pizza,6.8e-05,0.03381,0.008731,0.001178,0.005292,0.002318,5e-06,0.000464,0.021474,0.000936,0.008105,0.001323,0.000316,4.3e-05,0.000445,0.000322,0.004592,0.010341,0.002278,0.000134,0.001014,0.000923,0.015726,0.00117,1.0,0.000588,0.022976,0.002265,0.000606,0.001819,0.001167,0.000132
Pubs,0.0,0.000387,0.000269,0.001416,0.001204,0.000573,0.0,0.028365,0.000752,0.000128,0.000444,0.000145,0.000154,0.0,0.0,0.005485,0.001446,0.000587,0.000173,4.3e-05,0.0,0.00072,0.00012,0.001753,0.000588,1.0,0.000211,0.000102,0.000539,1.3e-05,6.5e-05,0.000327
Sandwiches,3.6e-05,0.049476,0.013228,0.001988,0.014995,0.003759,1.9e-05,0.000373,0.035265,0.003199,0.013007,0.004722,0.000967,0.000103,0.00125,0.000639,0.004793,0.014927,0.004662,0.00031,0.00302,0.001865,0.027156,0.00092,0.022976,0.000211,1.0,0.005114,0.00108,0.004082,0.002441,0.000333
Seafood Restaurants,4.9e-05,0.00687,0.007396,0.004861,0.005236,0.004719,8.3e-05,0.000953,0.003994,0.00395,0.009955,0.003112,0.001414,0.000245,0.002859,0.000927,0.002729,0.009204,0.012636,0.00109,0.008194,0.003436,0.007435,0.001513,0.002265,0.000102,0.005114,1.0,0.002553,0.011844,0.006903,0.001022
Steakhouse,6.3e-05,0.001583,0.000958,0.001672,0.001232,0.001421,0.0,0.000808,0.001056,0.00143,0.001137,0.001048,0.000589,0.000434,0.001173,0.000571,0.00027,0.001817,0.001272,0.000105,0.00146,0.001939,0.001852,0.000645,0.000606,0.000539,0.00108,0.002553,1.0,0.001319,0.00057,0.000515
Sushi,5.1e-05,0.005041,0.0095,0.003044,0.003766,0.002795,3.4e-05,0.000354,0.003066,0.002735,0.011368,0.003315,0.0011,0.00042,0.002173,0.000861,0.003207,0.005164,0.037035,0.000624,0.00855,0.002396,0.006606,0.001129,0.001819,1.3e-05,0.004082,0.011844,0.001319,1.0,0.008137,0.000953
Thai Restaurants,0.000113,0.00325,0.010622,0.003089,0.002725,0.001923,0.0,0.000574,0.002019,0.002068,0.011968,0.00333,0.000811,0.000314,0.001682,0.000859,0.005485,0.004103,0.010892,0.000905,0.005145,0.002498,0.004109,0.001573,0.001167,6.5e-05,0.002441,0.006903,0.00057,0.008137,1.0,0.000653
Vegetarian Restaurants,0.00026,0.000366,0.000418,0.000834,0.000429,0.000596,0.0,0.000785,0.000234,0.000748,0.000492,0.000302,0.000296,0.000239,0.00201,0.000369,0.000345,0.000916,0.000837,0.000703,0.001748,0.001593,0.000468,0.00073,0.000132,0.000327,0.000333,0.001022,0.000515,0.000953,0.000653,1.0
