,American Restaurants,Asian Restaurants,BBQ Restaurants,Bakeries,Bar Food,British Restaurants,Burgers,Cafes,Chinese Restaurants,Coffee Shops,Diners,Greek Restaurants,Ice Cream,Indian Restaurants,Italian Restaurants,Japanese Restaurants,Korean Restaurants,Latin American Restaurants,Mediterranean Restaurants,Mexican Restaurants,Middle Eastern Restaurants,Pizza,Pubs,Sandwiches,Seafood Restaurants,Steakhouse,Sushi,Thai Restaurants,Vegetarian Restaurants
Diners,0.843137,0.192157,0.052941,0.207843,0.115686,0.0,0.605882,0.037255,0.343137,0.101961,1.0,0.021569,0.023529,0.066667,0.252941,0.1,0.015686,0.117647,0.017647,0.492157,0.011765,0.460784,0.0,0.543137,0.131373,0.011765,0.1,0.047059,0.007843
Greek Restaurants,0.64497,0.218935,0.076923,0.147929,0.088757,0.0,0.289941,0.047337,0.284024,0.035503,0.065089,1.0,0.0,0.065089,0.301775,0.153846,0.011834,0.088757,0.04142,0.384615,0.059172,0.461538,0.0,0.455621,0.118343,0.023669,0.171598,0.088757,0.005917
Ice Cream,0.52439,0.170732,0.036585,0.158537,0.121951,0.060976,0.414634,0.036585,0.219512,0.060976,0.146341,0.0,1.0,0.060976,0.195122,0.036585,0.02439,0.060976,0.036585,0.268293,0.012195,0.536585,0.439024,0.365854,0.109756,0.0,0.085366,0.060976,0.02439
Indian Restaurants,0.307555,0.186199,0.020226,0.046401,0.024985,0.00238,0.146936,0.016062,0.247472,0.021416,0.020226,0.006544,0.002974,1.0,0.10232,0.04997,0.004164,0.029149,0.020226,0.114218,0.054729,0.262939,0.012493,0.139798,0.044021,0.000595,0.049375,0.060083,0.009518
Italian Restaurants,0.54393,0.148185,0.041051,0.119399,0.062078,0.001252,0.268335,0.037297,0.167209,0.036796,0.03229,0.012766,0.004005,0.043054,1.0,0.059324,0.004255,0.043054,0.02428,0.259324,0.014268,0.47184,0.007259,0.318648,0.094869,0.019024,0.049312,0.036295,0.002753
Japanese Restaurants,0.497358,0.394717,0.047547,0.097358,0.069434,0.0,0.288302,0.037736,0.393962,0.046792,0.038491,0.019623,0.002264,0.063396,0.178868,1.0,0.01283,0.087547,0.021132,0.259623,0.019623,0.335849,0.0,0.301887,0.149434,0.005283,0.315472,0.095849,0.006792
Korean Restaurants,0.52381,0.333333,0.083333,0.178571,0.083333,0.0,0.392857,0.035714,0.392857,0.119048,0.095238,0.02381,0.02381,0.083333,0.202381,0.202381,1.0,0.071429,0.02381,0.25,0.047619,0.380952,0.0,0.321429,0.178571,0.0,0.142857,0.107143,0.0
Latin American Restaurants,0.766849,0.347905,0.07286,0.189435,0.114754,0.0,0.362477,0.054645,0.459016,0.092896,0.10929,0.027322,0.009107,0.089253,0.313297,0.211293,0.010929,1.0,0.018215,0.608379,0.021858,0.480874,0.0,0.520947,0.17122,0.016393,0.213115,0.105647,0.010929
Mediterranean Restaurants,0.492063,0.177249,0.044974,0.100529,0.044974,0.002646,0.269841,0.037037,0.15873,0.034392,0.02381,0.018519,0.007937,0.089947,0.256614,0.074074,0.005291,0.026455,1.0,0.261905,0.066138,0.415344,0.0,0.325397,0.071429,0.026455,0.07672,0.066138,0.007937
Mexican Restaurants,0.614388,0.155935,0.040468,0.122122,0.064209,0.000719,0.322842,0.03705,0.204676,0.045144,0.045144,0.011691,0.003957,0.034532,0.186331,0.061871,0.003777,0.060072,0.017806,1.0,0.01295,0.397662,0.000719,0.359532,0.081115,0.014388,0.06205,0.039568,0.003237
Middle Eastern Restaurants,0.373016,0.168651,0.019841,0.063492,0.049603,0.009921,0.277778,0.013889,0.140873,0.017857,0.011905,0.019841,0.001984,0.18254,0.113095,0.051587,0.007937,0.02381,0.049603,0.142857,1.0,0.367063,0.015873,0.164683,0.039683,0.0,0.041667,0.021825,0.0
Pizza,0.289404,0.061465,0.016869,0.048339,0.035003,0.001476,0.160358,0.015762,0.076542,0.01729,0.012388,0.004112,0.002319,0.0233,0.099367,0.023458,0.001687,0.013917,0.008276,0.116552,0.009752,1.0,0.007538,0.175804,0.028677,0.005904,0.019399,0.013284,0.001054
Pubs,0.224784,0.0317,0.034582,0.005764,0.043228,0.121037,0.207493,0.005764,0.0317,0.005764,0.0,0.0,0.103746,0.060519,0.083573,0.0,0.0,0.0,0.0,0.011527,0.023055,0.412104,1.0,0.10951,0.005764,0.0,0.0,0.005764,0.005764
Sandwiches,0.564349,0.114914,0.027689,0.132501,0.050386,0.001188,0.334878,0.035651,0.145692,0.041711,0.032917,0.00915,0.003565,0.027926,0.151277,0.047534,0.003209,0.033987,0.014617,0.237552,0.009863,0.396316,0.004516,1.0,0.055021,0.010576,0.043969,0.026619,0.002377
Seafood Restaurants,0.640518,0.243717,0.063976,0.129474,0.068545,0.000762,0.31607,0.04265,0.322925,0.05179,0.051028,0.015232,0.006855,0.056359,0.288652,0.1508,0.011424,0.071592,0.020564,0.343488,0.015232,0.414318,0.001523,0.352628,1.0,0.031226,0.14166,0.054836,0.006093
Steakhouse,0.671756,0.133588,0.087786,0.129771,0.083969,0.003817,0.354962,0.049618,0.122137,0.034351,0.022901,0.015267,0.0,0.003817,0.290076,0.026718,0.0,0.034351,0.038168,0.305344,0.0,0.427481,0.0,0.339695,0.156489,1.0,0.034351,0.026718,0.0
Sushi,0.500917,0.354128,0.048624,0.127523,0.059633,0.0,0.279817,0.044037,0.381651,0.058716,0.046789,0.026606,0.006422,0.076147,0.180734,0.383486,0.011009,0.107339,0.026606,0.316514,0.019266,0.337615,0.0,0.33945,0.170642,0.008257,1.0,0.09633,0.006422
Thai Restaurants,0.478873,0.478873,0.048656,0.102433,0.048656,0.0,0.25096,0.044814,0.501921,0.044814,0.03073,0.019206,0.006402,0.129321,0.185659,0.162612,0.011524,0.074264,0.03201,0.28169,0.014085,0.322663,0.002561,0.286812,0.09219,0.008963,0.134443,1.0,0.006402
Vegetarian Restaurants,0.565217,0.282609,0.021739,0.152174,0.086957,0.021739,0.391304,0.0,0.5,0.043478,0.086957,0.021739,0.043478,0.347826,0.23913,0.195652,0.0,0.130435,0.065217,0.391304,0.0,0.434783,0.043478,0.434783,0.173913,0.0,0.152174,0.108696,1.0
All,0.389478,0.08905,0.019304,0.065435,0.035892,0.001881,0.219111,0.020062,0.105141,0.021916,0.013322,0.004415,0.002142,0.043911,0.104357,0.034612,0.002194,0.014341,0.009874,0.145238,0.013165,0.495533,0.009064,0.219816,0.034298,0.006844,0.028473,0.020401,0.001202
