,Bakery,Beer & Liquor,Candied & Chocolate Covered Fruit,Candy & Chocolate,Coffee,Condiments & Sauces,Cooking & Baking Ingredients,Dairy Products,Dips & Spreads,Food Gift Baskets,Frozen Desserts & Novelties,Fruit Flavored Drinks,Fruits & Vegetables,"Grains, Rice & Cereal",Hot Chocolate,Juice,"Meat, Seafood & Eggs",Milk,Non-Dairy Milk,Nuts & Seeds,Pasta & Noodles,Powdered Beverage Mixes,Prepared Foods,Prepared Meals,Seasonings & Spices,Snack Foods,Soda,Soups & Broths,Sports & Energy Drinks,Tea & Infusions,"Tofu, Soy & Vegetarian Products",Vinegar Drinks,Water
Nuts & Seeds,0.034299,0.0,0.000479,0.030449,0.019455,0.035249,0.035672,0.03876,0.032444,0.000176,0.025317,0.020425,0.037958,0.03383,0.001205,0.028646,0.035299,0.033457,0.016576,1.0,0.025032,0.011021,0.026495,4.8e-05,0.028698,0.034257,0.024085,0.022976,0.015571,0.01746,0.006762,0.000193,0.026264
Pasta & Noodles,0.076881,0.0,0.000356,0.049915,0.026683,0.076357,0.062251,0.077831,0.056894,9.2e-05,0.041948,0.036191,0.074147,0.062225,0.001201,0.054077,0.078371,0.061487,0.014428,0.025032,1.0,0.016907,0.065314,3.8e-05,0.042883,0.074601,0.051016,0.041689,0.029623,0.024885,0.005759,0.000134,0.043092
Powdered Beverage Mixes,0.016408,0.0,4e-05,0.012343,0.009196,0.018308,0.017735,0.016651,0.01614,0.0,0.012911,0.019087,0.013976,0.016439,0.000301,0.01501,0.016214,0.015482,0.008522,0.011021,0.016907,1.0,0.012988,4e-05,0.015885,0.01725,0.017063,0.014682,0.016828,0.010803,0.001804,8.2e-05,0.015909
Prepared Foods,0.180135,0.0,0.000447,0.086952,0.033222,0.128858,0.092471,0.168192,0.080078,0.000122,0.057,0.040393,0.199756,0.087467,0.00114,0.074526,0.194163,0.095707,0.012969,0.026495,0.065314,0.012988,1.0,8.6e-05,0.045279,0.167186,0.075848,0.040192,0.028692,0.027428,0.005462,0.000115,0.054945
Prepared Meals,3.6e-05,0.0,0.0,3.7e-05,4.8e-05,3.3e-05,5.1e-05,5.1e-05,3.1e-05,0.0,4.6e-05,2.1e-05,4.2e-05,1.8e-05,0.000144,4.4e-05,3.4e-05,2.2e-05,6.1e-05,4.8e-05,3.8e-05,4e-05,8.6e-05,1.0,3.8e-05,3.1e-05,8.6e-05,6.2e-05,3.3e-05,4.3e-05,0.000117,0.0,2.5e-05
Seasonings & Spices,0.057741,5e-06,0.000494,0.038189,0.022957,0.063549,0.063621,0.064602,0.046762,9.9e-05,0.031418,0.028534,0.065901,0.049861,0.000876,0.041922,0.063097,0.047702,0.01474,0.028698,0.042883,0.015885,0.045279,3.8e-05,1.0,0.05532,0.040094,0.033513,0.02296,0.022656,0.004965,0.000283,0.036339
Snack Foods,0.223221,1e-06,0.000378,0.106959,0.038854,0.157138,0.121844,0.213883,0.098737,8e-05,0.06208,0.047927,0.253504,0.108571,0.001027,0.085417,0.230754,0.110405,0.015626,0.034257,0.074601,0.01725,0.167186,3.1e-05,0.05532,1.0,0.095934,0.045272,0.038044,0.031806,0.00476,0.000115,0.068912
Soda,0.096132,0.0,0.00021,0.063476,0.028165,0.083186,0.06892,0.091176,0.060409,5.8e-05,0.04681,0.04196,0.088271,0.059052,0.000682,0.056069,0.095807,0.068088,0.011075,0.024085,0.051016,0.017063,0.075848,8.6e-05,0.040094,0.095934,1.0,0.03673,0.038623,0.026688,0.002956,0.00011,0.054023
Soups & Broths,0.048044,0.0,0.000382,0.035195,0.022478,0.050417,0.043954,0.05005,0.04057,9.8e-05,0.031782,0.026381,0.047237,0.042256,0.001188,0.038252,0.049823,0.043592,0.013809,0.022976,0.041689,0.014682,0.040192,6.2e-05,0.033513,0.045272,0.03673,1.0,0.021918,0.021392,0.004554,0.000195,0.032297
Sports & Energy Drinks,0.03517,0.0,7.5e-05,0.025901,0.016513,0.03406,0.030057,0.034953,0.030255,3.3e-05,0.023397,0.030823,0.02996,0.028602,0.000354,0.029582,0.03427,0.030911,0.010564,0.015571,0.029623,0.016828,0.028692,3.3e-05,0.02296,0.038044,0.038623,0.021918,1.0,0.018365,0.001604,8.3e-05,0.034285
Tea & Infusions,0.03328,1.5e-05,0.000346,0.026134,0.017675,0.032775,0.030396,0.034169,0.028453,0.000123,0.023103,0.020702,0.031991,0.02813,0.001174,0.026992,0.033328,0.03095,0.010924,0.01746,0.024885,0.010803,0.027428,4.3e-05,0.022656,0.031806,0.026688,0.021392,0.018365,1.0,0.003745,0.000231,0.0249
"Tofu, Soy & Vegetarian Products",0.005786,0.0,0.000888,0.005716,0.004076,0.005643,0.004658,0.005513,0.006807,0.000123,0.006571,0.004605,0.006032,0.006245,0.001916,0.006528,0.005003,0.006074,0.014703,0.006762,0.005759,0.001804,0.005462,0.000117,0.004965,0.00476,0.002956,0.004554,0.001604,0.003745,1.0,0.000246,0.003723
Vinegar Drinks,0.000121,0.0,0.0,0.000145,0.000112,0.000175,0.000206,0.000157,0.000161,0.0,0.000165,0.000111,0.000152,0.000132,0.0,0.000193,0.000141,0.000184,0.000165,0.000193,0.000134,8.2e-05,0.000115,0.0,0.000283,0.000115,0.00011,0.000195,8.3e-05,0.000231,0.000246,1.0,0.000135
Water,0.068657,0.0,0.000382,0.04715,0.028207,0.064586,0.055239,0.070972,0.050933,0.000101,0.03896,0.043945,0.068283,0.051316,0.000873,0.049231,0.071597,0.056159,0.015549,0.026264,0.043092,0.015909,0.054945,2.5e-05,0.036339,0.068912,0.054023,0.032297,0.034285,0.0249,0.003723,0.000135,1.0
