,Bakery,Beer & Liquor,Candied & Chocolate Covered Fruit,Candy & Chocolate,Coffee,Condiments & Sauces,Cooking & Baking Ingredients,Dairy Products,Dips & Spreads,Food Gift Baskets,Frozen Desserts & Novelties,Fruit Flavored Drinks,Fruits & Vegetables,"Grains, Rice & Cereal",Hot Chocolate,Juice,"Meat, Seafood & Eggs",Milk,Non-Dairy Milk,Nuts & Seeds,Pasta & Noodles,Powdered Beverage Mixes,Prepared Foods,Prepared Meals,Seasonings & Spices,Snack Foods,Soda,Soups & Broths,Sports & Energy Drinks,Tea & Infusions,"Tofu, Soy & Vegetarian Products",Vinegar Drinks,Water
Food Gift Baskets,0.114,0.0,0.005,0.043,0.019,0.062,0.039,0.127,0.042,1.0,0.025,0.017,0.181,0.039,0.0,0.041,0.14,0.056,0.0,0.022,0.022,0.0,0.116,0.0,0.021,0.087,0.02,0.014,0.004,0.017,0.002,0.0,0.024
Frozen Desserts & Novelties,0.415076,0.0,0.000602,0.172894,0.051637,0.238096,0.176923,0.385902,0.130482,0.00013,1.0,0.058049,0.606774,0.146606,0.001817,0.120053,0.453133,0.165746,0.018117,0.040544,0.089886,0.015927,0.319703,4.7e-05,0.063806,0.389193,0.124979,0.053553,0.036988,0.038675,0.007045,0.000166,0.08361
Fruit Flavored Drinks,0.377619,0.0,0.000448,0.140882,0.047924,0.230852,0.165764,0.361546,0.12313,0.000119,0.078243,1.0,0.555747,0.139371,0.001232,0.123179,0.431182,0.145528,0.018235,0.037337,0.092958,0.025029,0.296738,2.1e-05,0.068678,0.394552,0.137698,0.05129,0.054802,0.039765,0.005073,0.000112,0.111864
Fruits & Vegetables,0.346483,1e-06,0.000454,0.118371,0.04321,0.215222,0.16296,0.354789,0.111703,0.000103,0.066653,0.045291,1.0,0.12888,0.001167,0.096716,0.41993,0.138706,0.018188,0.039149,0.078376,0.014161,0.256636,4.2e-05,0.069261,0.32794,0.097103,0.048765,0.031063,0.033426,0.006048,0.000152,0.072552
"Grains, Rice & Cereal",0.371716,0.0,0.000481,0.132257,0.048767,0.232055,0.178267,0.364914,0.124956,0.000101,0.073012,0.051494,0.584298,1.0,0.001375,0.110232,0.418934,0.154046,0.021686,0.043185,0.094542,0.018182,0.277848,1.8e-05,0.073384,0.373921,0.105602,0.055455,0.036362,0.037071,0.00645,0.000132,0.078702
Hot Chocolate,0.26739,0.0,0.001744,0.131564,0.054253,0.143383,0.096105,0.239295,0.080411,0.0,0.067816,0.034102,0.396629,0.103081,1.0,0.100368,0.279597,0.12672,0.013951,0.030033,0.056384,0.0031,0.210618,0.000194,0.036621,0.217787,0.046309,0.033908,0.008525,0.032358,0.007557,0.0,0.040884
Juice,0.405918,0.0,0.000585,0.152193,0.049567,0.24434,0.178223,0.386496,0.129571,0.00015,0.084584,0.064387,0.620325,0.155949,0.001895,1.0,0.46288,0.168015,0.019447,0.040445,0.09586,0.017388,0.31019,4.4e-05,0.071267,0.392425,0.120233,0.056015,0.041238,0.039479,0.006847,0.000194,0.087572
"Meat, Seafood & Eggs",0.378174,1e-06,0.000468,0.12764,0.046332,0.236659,0.169282,0.373462,0.11913,0.000116,0.072366,0.051087,0.610507,0.134342,0.001196,0.104921,1.0,0.148809,0.017222,0.037591,0.086983,0.016591,0.290568,3.4e-05,0.069728,0.356915,0.112492,0.053056,0.036403,0.035924,0.005041,0.000141,0.079934
Milk,0.428223,0.0,0.000624,0.155547,0.054279,0.249188,0.185634,0.41134,0.134221,0.000152,0.086595,0.056408,0.659706,0.161606,0.001774,0.12459,0.486823,1.0,0.017434,0.043232,0.095231,0.017233,0.31226,2.2e-05,0.071569,0.393361,0.123527,0.057889,0.039663,0.041198,0.006287,0.000184,0.087333
Non-Dairy Milk,0.361584,0.0,0.000401,0.125546,0.055109,0.236966,0.198427,0.396665,0.145258,0.0,0.073577,0.054941,0.672401,0.176839,0.001518,0.112095,0.437944,0.135517,1.0,0.05882,0.085426,0.017013,0.269053,6.3e-05,0.079101,0.368941,0.090802,0.054477,0.036683,0.04208,0.019143,0.000169,0.091772
Nuts & Seeds,0.310167,0.0,0.000485,0.125162,0.047788,0.206886,0.174615,0.337004,0.113211,0.000178,0.063151,0.043146,0.555114,0.135067,0.001253,0.089414,0.366639,0.128889,0.02256,1.0,0.07131,0.015137,0.223955,4.9e-05,0.075466,0.325045,0.089268,0.048297,0.030088,0.036209,0.007544,0.000194,0.074609
Pasta & Noodles,0.381991,0.0,0.000358,0.127662,0.04635,0.25849,0.182817,0.374276,0.126798,9.3e-05,0.072919,0.055947,0.57881,0.154003,0.001225,0.110374,0.441846,0.147867,0.017064,0.03714,1.0,0.019991,0.306436,3.8e-05,0.077635,0.388089,0.119218,0.063999,0.043191,0.038319,0.006094,0.000135,0.082521
Powdered Beverage Mixes,0.363112,0.0,4.2e-05,0.1137,0.044377,0.252803,0.199896,0.354853,0.122251,0.0,0.06383,0.07442,0.516655,0.146323,0.000333,0.098908,0.416353,0.132196,0.01679,0.038947,0.098762,1.0,0.266077,4.2e-05,0.08424,0.401498,0.13746,0.057297,0.057526,0.041215,0.002372,8.3e-05,0.092833
Prepared Foods,0.318733,0.0,0.000448,0.113715,0.038453,0.189629,0.129518,0.294612,0.099277,0.000122,0.064868,0.044669,0.474036,0.113202,0.001145,0.089331,0.369171,0.12127,0.013442,0.029174,0.076644,0.013471,1.0,8.6e-05,0.05294,0.307691,0.096176,0.04443,0.031388,0.030556,0.005519,0.000115,0.065078
Prepared Meals,0.020533,0.0,0.0,0.008324,0.004994,0.011654,0.014428,0.028302,0.005549,0.0,0.004994,0.001665,0.040511,0.003885,0.000555,0.006659,0.022752,0.00444,0.001665,0.00333,0.004994,0.00111,0.045505,1.0,0.00444,0.018868,0.016648,0.004994,0.00222,0.00333,0.00111,0.0,0.00333
Seasonings & Spices,0.322022,5e-06,0.000498,0.106591,0.042239,0.237638,0.202584,0.34652,0.11286,0.0001,0.058287,0.046545,0.575982,0.134608,0.000896,0.092402,0.398855,0.125138,0.017793,0.044259,0.087423,0.019201,0.238345,3.8e-05,1.0,0.323378,0.101754,0.054303,0.035112,0.036577,0.005297,0.000285,0.074453
Snack Foods,0.355443,1e-06,0.000379,0.132098,0.043783,0.214013,0.158762,0.336766,0.116401,8e-05,0.068782,0.051732,0.527604,0.132693,0.001031,0.098435,0.394971,0.13306,0.016055,0.03688,0.084546,0.017705,0.268001,3.1e-05,0.062561,1.0,0.115303,0.048965,0.040651,0.034708,0.004804,0.000115,0.078479
Soda,0.34974,0.0,0.000211,0.128768,0.042131,0.216238,0.158332,0.323606,0.11,5.8e-05,0.06963,0.056916,0.492495,0.118139,0.000691,0.095076,0.392444,0.131727,0.012457,0.03193,0.081876,0.019109,0.264084,8.7e-05,0.062059,0.363493,1.0,0.050007,0.049986,0.036315,0.003077,0.00011,0.086368
Soups & Broths,0.378704,0.0,0.000387,0.129625,0.050727,0.259784,0.19105,0.38044,0.127193,9.8e-05,0.072509,0.051521,0.601074,0.150768,0.00123,0.107646,0.449821,0.150022,0.018162,0.041983,0.106817,0.019357,0.296481,6.3e-05,0.080487,0.375134,0.121528,1.0,0.039389,0.041154,0.005019,0.000197,0.083376
Sports & Energy Drinks,0.328888,0.0,7.6e-05,0.110139,0.041634,0.206683,0.15258,0.315646,0.108786,3.4e-05,0.059867,0.065808,0.457698,0.11818,0.00037,0.094738,0.368951,0.122877,0.01462,0.031265,0.086175,0.023233,0.250384,3.4e-05,0.062212,0.372304,0.145219,0.047087,1.0,0.038836,0.001807,8.4e-05,0.099124
Tea & Infusions,0.274577,1.5e-05,0.00035,0.099706,0.040901,0.176852,0.137649,0.2721,0.092531,0.000124,0.054267,0.041396,0.426976,0.104448,0.001216,0.078625,0.315638,0.110647,0.014539,0.032619,0.066279,0.01443,0.211306,4.4e-05,0.056183,0.275567,0.09146,0.042649,0.033667,1.0,0.004145,0.000233,0.066213
"Tofu, Soy & Vegetarian Products",0.395917,0.0,0.000985,0.154992,0.053634,0.236854,0.157815,0.363028,0.149609,0.000131,0.089083,0.047594,0.696252,0.163789,0.00256,0.122891,0.399133,0.15217,0.059607,0.061249,0.094991,0.007484,0.34399,0.000131,0.073328,0.343727,0.069848,0.046872,0.014114,0.037353,1.0,0.000263,0.06138
Vinegar Drinks,0.123153,0.0,0.0,0.057143,0.02069,0.108374,0.102463,0.153695,0.051232,0.0,0.031527,0.015764,0.263054,0.050246,0.0,0.052217,0.167488,0.066995,0.007882,0.023645,0.031527,0.003941,0.107389,0.0,0.059113,0.123153,0.037438,0.027586,0.009852,0.031527,0.003941,1.0,0.031527
Water,0.344445,0.0,0.000384,0.121097,0.048977,0.221457,0.163576,0.344166,0.114321,0.000101,0.067996,0.067493,0.537126,0.128519,0.000891,0.101082,0.407049,0.135941,0.018377,0.038954,0.082725,0.018837,0.260837,2.5e-05,0.066282,0.361134,0.12607,0.050079,0.049804,0.038376,0.003947,0.000135,1.0
