,American Restaurants,Asian Restaurants,BBQ Restaurants,Bakeries,Bar Food,British Restaurants,Burgers,Cafes,Chinese Restaurants,Coffee Shops,Diners,Greek Restaurants,Ice Cream,Indian Restaurants,Italian Restaurants,Japanese Restaurants,Korean Restaurants,Latin American Restaurants,Mediterranean Restaurants,Mexican Restaurants,Middle Eastern Restaurants,Pizza,Pubs,Sandwiches,Seafood Restaurants,Steakhouse,Sushi,Thai Restaurants,Vegetarian Restaurants
Indian Restaurants,0.007827,0.017849,0.002547,0.002953,0.002657,0.000348,0.005101,0.001653,0.018855,0.002718,0.002495,0.001016,0.000463,1.0,0.005745,0.007393,0.000904,0.00651,0.002422,0.005538,0.009482,0.003515,0.001143,0.005389,0.004219,0.000256,0.005157,0.007202,0.001113
Italian Restaurants,0.026085,0.013942,0.004381,0.01296,0.007237,0.000106,0.014995,0.004259,0.016069,0.005074,0.003,0.002303,0.000469,0.005745,1.0,0.007596,0.000511,0.007031,0.003627,0.02321,0.001875,0.013935,0.000528,0.022106,0.011424,0.002533,0.007403,0.004598,0.000385
Japanese Restaurants,0.007994,0.028527,0.006281,0.00472,0.005537,3e-05,0.005721,0.003143,0.021926,0.005789,0.003605,0.002197,0.000721,0.007393,0.007596,1.0,0.001646,0.012629,0.004492,0.010435,0.003646,0.00287,0.000112,0.007217,0.01616,0.001165,0.043338,0.012388,0.000688
Korean Restaurants,0.000336,0.001084,0.001292,0.00034,0.000598,0.0,0.000367,0.000488,0.001122,0.000632,0.001169,0.000911,0.000442,0.000904,0.000511,0.001646,1.0,0.000448,0.001398,0.000423,0.000933,0.000114,0.0,0.000336,0.000924,0.000104,0.000746,0.001203,0.000753
Latin American Restaurants,0.007007,0.012634,0.004381,0.005469,0.005544,5.6e-05,0.003348,0.004617,0.010212,0.006721,0.004636,0.004324,0.001322,0.00651,0.007031,0.012629,0.000448,1.0,0.004536,0.0131,0.004734,0.001737,3.8e-05,0.006006,0.01089,0.000989,0.013019,0.006848,0.000952
Mediterranean Restaurants,0.002042,0.003786,0.003121,0.002068,0.003364,0.000402,0.00146,0.004427,0.002102,0.002347,0.00094,0.007954,0.000584,0.002422,0.003627,0.004492,0.001398,0.004536,1.0,0.002891,0.006876,0.000923,0.000235,0.002617,0.00505,0.001354,0.003779,0.002901,0.00076
Mexican Restaurants,0.051756,0.019266,0.004493,0.016997,0.00781,4e-05,0.028318,0.005447,0.03015,0.00777,0.005811,0.001705,0.000733,0.005538,0.02321,0.010435,0.000423,0.0131,0.002891,1.0,0.001682,0.019781,8.8e-05,0.037732,0.011073,0.001916,0.012592,0.005843,0.000443
Middle Eastern Restaurants,0.001421,0.004097,0.00249,0.001127,0.002403,0.001669,0.001665,0.001629,0.002486,0.001447,0.00115,0.005957,0.000766,0.009482,0.001875,0.003646,0.000933,0.004734,0.006876,0.001682,1.0,0.00075,0.001582,0.001451,0.002242,0.000273,0.002534,0.002233,0.001523
Pizza,0.045525,0.007102,0.001582,0.007454,0.003669,6.7e-05,0.028187,0.001656,0.011121,0.002076,0.001136,0.000485,0.000192,0.003515,0.013935,0.00287,0.000114,0.001737,0.000923,0.019781,0.00075,1.0,0.000787,0.029649,0.002975,0.001025,0.003043,0.001367,7e-05
Pubs,0.000535,0.000204,0.001003,9.4e-05,0.000912,0.009275,0.000795,0.00022,0.00023,0.0001,1.8e-05,2.7e-05,0.017164,0.001143,0.000528,0.000112,0.0,3.8e-05,0.000235,8.8e-05,0.001582,0.000787,1.0,0.000516,0.000188,1.9e-05,5.6e-05,0.000114,0.000491
Sandwiches,0.059045,0.015908,0.003527,0.020903,0.006629,4e-05,0.040152,0.005058,0.022111,0.007683,0.003746,0.001539,0.000498,0.005389,0.022106,0.007217,0.000336,0.006006,0.002617,0.037732,0.001451,0.029649,0.000516,1.0,0.007784,0.001618,0.00789,0.003685,0.000286
Seafood Restaurants,0.009234,0.012973,0.006332,0.006257,0.006333,2.3e-05,0.005226,0.005285,0.013423,0.004306,0.003458,0.002723,0.000671,0.004219,0.011424,0.01616,0.000924,0.01089,0.00505,0.011073,0.002242,0.002975,0.000188,0.007784,1.0,0.003985,0.01598,0.006985,0.00069
Steakhouse,0.002137,0.001188,0.003703,0.001656,0.001475,0.0,0.001803,0.00135,0.001172,0.000802,0.000889,0.000661,0.000103,0.000256,0.002533,0.001165,0.000104,0.000989,0.001354,0.001916,0.000273,0.001025,1.9e-05,0.001618,0.003985,1.0,0.001042,0.000493,0.000262
Sushi,0.008393,0.02103,0.004731,0.006053,0.004424,2e-05,0.004914,0.003887,0.018688,0.005692,0.003902,0.002046,0.000705,0.005157,0.007403,0.043338,0.000746,0.013019,0.003779,0.012592,0.002534,0.003043,5.6e-05,0.00789,0.01598,0.001042,1.0,0.010817,0.000662
Thai Restaurants,0.004031,0.017051,0.004958,0.003297,0.002641,0.000114,0.002276,0.002845,0.014752,0.004229,0.002437,0.001674,0.000672,0.007202,0.004598,0.012388,0.001203,0.006848,0.002901,0.005843,0.002233,0.001367,0.000114,0.003685,0.006985,0.000493,0.010817,1.0,0.000949
Vegetarian Restaurants,0.00027,0.000647,0.000632,0.0002,0.000358,0.000462,0.000145,0.000372,0.000574,0.00042,0.000883,0.001641,0.000291,0.001113,0.000385,0.000688,0.000753,0.000952,0.00076,0.000443,0.001523,7e-05,0.000491,0.000286,0.00069,0.000262,0.000662,0.000949,1.0
