,Bakery,Beer & Liquor,Candied & Chocolate Covered Fruit,Candy & Chocolate,Coffee,Condiments & Sauces,Cooking & Baking Ingredients,Dairy Products,Dips & Spreads,Food Gift Baskets,Frozen Desserts & Novelties,Fruit Flavored Drinks,Fruits & Vegetables,"Grains, Rice & Cereal",Hot Chocolate,Juice,"Meat, Seafood & Eggs",Milk,Non-Dairy Milk,Nuts & Seeds,Pasta & Noodles,Powdered Beverage Mixes,Prepared Foods,Prepared Meals,Seasonings & Spices,Snack Foods,Soda,Soups & Broths,Sports & Energy Drinks,Tea & Infusions,"Tofu, Soy & Vegetarian Products",Vinegar Drinks,Water
Food Gift Baskets,0.160555,0.0,0.00446,0.080773,0.032706,0.095144,0.078791,0.162537,0.073835,1.0,0.043112,0.024281,0.23439,0.062438,0.002973,0.063429,0.175917,0.092666,0.007433,0.033697,0.043112,0.002973,0.150644,0.000496,0.042121,0.123389,0.028741,0.028246,0.005946,0.026759,0.005451,0.001487,0.039643
Frozen Desserts & Novelties,0.557113,0.0,0.001466,0.255041,0.088234,0.35507,0.268446,0.526679,0.211559,0.000257,1.0,0.098725,0.711596,0.238187,0.003836,0.195282,0.592878,0.261918,0.031232,0.069979,0.153665,0.02593,0.450571,0.000127,0.10812,0.526564,0.189616,0.092064,0.060531,0.066639,0.011874,0.000304,0.137446
Fruit Flavored Drinks,0.50389,0.0,0.001274,0.209554,0.080033,0.338202,0.248296,0.482443,0.195327,0.000189,0.128972,1.0,0.651482,0.223584,0.002942,0.194617,0.55711,0.228051,0.030183,0.060722,0.154928,0.038511,0.415432,8.1e-05,0.111244,0.519607,0.199674,0.085473,0.082319,0.064919,0.009173,0.00022,0.173467
Fruits & Vegetables,0.460543,2e-06,0.000964,0.170195,0.069705,0.308718,0.240078,0.469629,0.170504,0.000203,0.103509,0.072541,1.0,0.19997,0.002199,0.147554,0.538261,0.204687,0.028292,0.061137,0.128242,0.022317,0.359619,8.3e-05,0.109817,0.441961,0.142792,0.079955,0.049477,0.054311,0.009512,0.000256,0.115045
"Grains, Rice & Cereal",0.500977,1e-06,0.001259,0.19993,0.081036,0.340637,0.270754,0.492303,0.197797,0.000186,0.118791,0.085357,0.685624,1.0,0.002828,0.174388,0.547366,0.238067,0.034593,0.071527,0.157776,0.027736,0.395148,5.5e-05,0.121342,0.503735,0.155459,0.092158,0.057848,0.062594,0.011435,0.000252,0.128028
Hot Chocolate,0.373514,0.0,0.003177,0.204048,0.092947,0.235273,0.171644,0.339022,0.147862,0.000545,0.117818,0.069166,0.464373,0.174185,1.0,0.163565,0.376963,0.203594,0.023691,0.050286,0.101843,0.007443,0.312608,0.000545,0.06844,0.320959,0.084778,0.056731,0.016066,0.054643,0.018789,0.000363,0.066352
Juice,0.54473,4e-06,0.001563,0.229285,0.084935,0.360834,0.269808,0.523153,0.207708,0.000269,0.139019,0.106054,0.722136,0.248923,0.003791,1.0,0.59982,0.260942,0.032515,0.067839,0.160769,0.026439,0.437951,0.000107,0.116775,0.52739,0.179051,0.094074,0.063962,0.06672,0.012743,0.000343,0.142415
"Meat, Seafood & Eggs",0.496346,3e-06,0.001025,0.182976,0.074916,0.335219,0.246964,0.494934,0.183201,0.0002,0.11284,0.081165,0.704278,0.208885,0.002336,0.160363,1.0,0.221541,0.028164,0.059974,0.140353,0.025229,0.399866,8.2e-05,0.109176,0.474456,0.161898,0.086444,0.056285,0.057982,0.008511,0.000254,0.125933
Milk,0.577661,2e-06,0.001519,0.234539,0.09174,0.37367,0.284318,0.561435,0.218475,0.000302,0.143359,0.095548,0.770197,0.261271,0.003628,0.200627,0.637112,1.0,0.030048,0.071734,0.161598,0.027958,0.44986,9.5e-05,0.119857,0.537926,0.186794,0.098845,0.062865,0.070342,0.011685,0.000299,0.143051
Non-Dairy Milk,0.495924,0.0,0.001138,0.190234,0.093243,0.358083,0.29356,0.529657,0.227888,0.000172,0.121503,0.089886,0.756671,0.269841,0.003001,0.177691,0.575681,0.213574,1.0,0.09783,0.149971,0.0268,0.388425,6.9e-05,0.132483,0.499327,0.137887,0.091932,0.058809,0.072674,0.031008,0.000345,0.147096
Nuts & Seeds,0.421152,4e-06,0.001248,0.189994,0.08141,0.305045,0.266616,0.450055,0.180593,0.000304,0.105958,0.070379,0.636393,0.217156,0.002479,0.144289,0.477123,0.198443,0.038076,1.0,0.122662,0.023054,0.323736,6.7e-05,0.129231,0.440492,0.133178,0.080197,0.047862,0.061528,0.013187,0.000465,0.119946
Pasta & Noodles,0.51396,5e-06,0.001131,0.19507,0.077839,0.375325,0.277136,0.506026,0.201543,0.0002,0.119266,0.092046,0.684271,0.245537,0.002574,0.17528,0.572357,0.229151,0.02992,0.062876,1.0,0.031342,0.431066,9.9e-05,0.128765,0.518781,0.176392,0.106685,0.067787,0.063374,0.011327,0.000255,0.133354
Powdered Beverage Mixes,0.481028,1.2e-05,0.000249,0.168888,0.071424,0.352457,0.289341,0.472649,0.187925,7.1e-05,0.104134,0.118388,0.616151,0.22334,0.000973,0.149151,0.532336,0.205134,0.027665,0.061146,0.162171,1.0,0.376349,3.6e-05,0.127265,0.518806,0.195711,0.09871,0.088776,0.065621,0.003537,0.000166,0.151477
Prepared Foods,0.394788,6e-06,0.000938,0.153885,0.059659,0.258778,0.183349,0.37296,0.146097,0.00019,0.095113,0.067129,0.521886,0.167252,0.002149,0.129865,0.443502,0.173499,0.021076,0.045134,0.117241,0.019782,1.0,0.000224,0.081339,0.383998,0.13242,0.068679,0.046207,0.047896,0.008449,0.000183,0.097921
Prepared Meals,0.030873,0.0,0.000482,0.010854,0.014954,0.024361,0.013989,0.035938,0.012542,0.000241,0.010371,0.005065,0.04631,0.008924,0.001447,0.012301,0.035215,0.014231,0.001447,0.003618,0.010371,0.000724,0.086589,1.0,0.007236,0.033044,0.024361,0.004824,0.003618,0.010613,0.000724,0.0,0.01206
Seasonings & Spices,0.447483,5e-06,0.000962,0.165342,0.073305,0.344764,0.3047,0.473634,0.18065,0.000226,0.097218,0.076568,0.678838,0.21877,0.002004,0.147495,0.51579,0.1969,0.03062,0.076744,0.149174,0.028495,0.346465,8e-05,1.0,0.442828,0.149135,0.092563,0.055102,0.06161,0.00958,0.000423,0.121732
Snack Foods,0.456709,6e-06,0.000927,0.186442,0.070274,0.299708,0.227196,0.436808,0.172926,0.000146,0.10477,0.079139,0.604537,0.200965,0.002079,0.147402,0.496002,0.195546,0.025538,0.057884,0.132992,0.025704,0.361939,8.1e-05,0.097989,1.0,0.160082,0.078694,0.060022,0.054768,0.007956,0.000218,0.119568
Soda,0.450939,9e-06,0.000666,0.186376,0.069314,0.301323,0.224808,0.423909,0.166542,9.9e-05,0.110054,0.088713,0.569754,0.180918,0.001602,0.145981,0.493713,0.198077,0.020571,0.05105,0.131907,0.028285,0.364087,0.000173,0.096265,0.46697,1.0,0.080481,0.073822,0.057824,0.00558,0.000154,0.133933
Soups & Broths,0.512289,8e-06,0.000839,0.194182,0.085425,0.377325,0.285754,0.513892,0.204952,0.000217,0.118855,0.084468,0.709626,0.238558,0.002385,0.170603,0.58636,0.233144,0.030507,0.068378,0.177455,0.031732,0.420023,7.6e-05,0.1329,0.510607,0.179016,1.0,0.064544,0.069527,0.009252,0.00029,0.137558
Sports & Energy Drinks,0.419536,1.8e-05,0.000189,0.160086,0.067582,0.286761,0.214823,0.4067,0.162443,5.5e-05,0.094299,0.098167,0.529898,0.180698,0.000815,0.139971,0.460709,0.17893,0.02355,0.049244,0.136062,0.034438,0.341005,6.9e-05,0.095469,0.469959,0.198147,0.077886,1.0,0.061827,0.002965,0.000134,0.150837
Tea & Infusions,0.359667,1.2e-05,0.000877,0.146497,0.067616,0.249373,0.201288,0.355577,0.140425,0.000208,0.086762,0.064699,0.486114,0.163404,0.002316,0.122022,0.396639,0.167321,0.024321,0.052906,0.106308,0.021274,0.295407,0.000169,0.089209,0.358374,0.12971,0.070117,0.051671,1.0,0.007126,0.000246,0.103045
"Tofu, Soy & Vegetarian Products",0.551527,0.0,0.002833,0.251771,0.095136,0.388209,0.281812,0.534491,0.258745,0.0004,0.145955,0.086309,0.803771,0.281812,0.007519,0.220023,0.549675,0.262414,0.097969,0.107051,0.179374,0.010825,0.491954,0.000109,0.130953,0.491518,0.118166,0.088089,0.023394,0.067275,1.0,0.000581,0.109012
Vinegar Drinks,0.19617,0.0,0.001553,0.091097,0.038302,0.167184,0.149586,0.212733,0.075052,0.001553,0.053313,0.029503,0.308489,0.088509,0.00207,0.084369,0.233954,0.095756,0.015528,0.05383,0.057453,0.007246,0.152174,0.0,0.082298,0.191511,0.046584,0.039337,0.01501,0.033126,0.008282,1.0,0.040373
Water,0.462541,5e-06,0.000796,0.181175,0.08072,0.319328,0.242222,0.464259,0.181248,0.000189,0.109908,0.106181,0.632441,0.205275,0.001728,0.15997,0.529101,0.208992,0.030235,0.063346,0.137392,0.030162,0.370934,0.000118,0.108258,0.480537,0.184524,0.085203,0.077423,0.063289,0.007092,0.000184,1.0
